Driver,LapNumber,LapTime,Compound,TyreLife,Stint,PitInTime,PitOutTime,TrackStatus,IsAccurate,LapTimeSeconds
STR,15.0,0 days 00:01:28.179000,MEDIUM,15.0,1.0,,,1,True,88.179
STR,16.0,0 days 00:01:28.080000,MEDIUM,16.0,1.0,,,1,True,88.08
STR,17.0,0 days 00:01:27.909000,MEDIUM,17.0,1.0,,,1,True,87.909
STR,18.0,0 days 00:01:28.401000,MEDIUM,18.0,1.0,,,1,True,88.401
STR,19.0,0 days 00:01:28.050000,MEDIUM,19.0,1.0,,,1,True,88.05
STR,20.0,0 days 00:01:33.026000,MEDIUM,20.0,1.0,0 days 01:51:49.784000,,1,False,93.026
STR,21.0,0 days 00:01:48.851000,HARD,5.0,2.0,,0 days 01:52:15.471000,1,False,108.851
STR,22.0,0 days 00:01:26.742000,HARD,6.0,2.0,,,1,True,86.742
STR,23.0,0 days 00:01:26.968000,HARD,7.0,2.0,,,1,True,86.968
STR,24.0,0 days 00:01:27.340000,HARD,8.0,2.0,,,1,True,87.34
STR,25.0,0 days 00:01:27.176000,HARD,9.0,2.0,,,1,True,87.176
STR,26.0,0 days 00:01:27.259000,HARD,10.0,2.0,,,1,True,87.259
STR,27.0,0 days 00:01:26.675000,HARD,11.0,2.0,,,1,True,86.675
STR,28.0,0 days 00:01:27.085000,HARD,12.0,2.0,,,1,True,87.085
STR,29.0,0 days 00:01:26.809000,HARD,13.0,2.0,,,1,True,86.809
STR,30.0,0 days 00:01:26.924000,HARD,14.0,2.0,,,1,True,86.924
STR,31.0,0 days 00:01:26.617000,HARD,15.0,2.0,,,1,True,86.617
STR,32.0,0 days 00:01:26.832000,HARD,16.0,2.0,,,1,True,86.832
STR,33.0,0 days 00:01:27.121000,HARD,17.0,2.0,,,1,True,87.121
STR,34.0,0 days 00:01:27.298000,HARD,18.0,2.0,,,1,True,87.298
STR,35.0,0 days 00:01:26.970000,HARD,19.0,2.0,,,1,True,86.97
STR,36.0,0 days 00:01:27.096000,HARD,20.0,2.0,,,1,True,87.096
STR,37.0,0 days 00:01:27.373000,HARD,21.0,2.0,,,1,True,87.373
STR,38.0,0 days 00:01:26.902000,HARD,22.0,2.0,,,1,True,86.902
STR,39.0,0 days 00:01:26.904000,HARD,23.0,2.0,,,1,True,86.904
STR,40.0,0 days 00:01:27.072000,HARD,24.0,2.0,,,1,True,87.072
STR,41.0,0 days 00:01:26.916000,HARD,25.0,2.0,,,1,True,86.916
STR,42.0,0 days 00:01:27.067000,HARD,26.0,2.0,,,1,True,87.067
STR,43.0,0 days 00:01:31.134000,HARD,27.0,2.0,,,1,True,91.134
STR,44.0,0 days 00:01:28.214000,HARD,28.0,2.0,,,1,True,88.214
STR,45.0,0 days 00:01:28.336000,HARD,29.0,2.0,,,1,True,88.336
STR,46.0,0 days 00:01:27.153000,HARD,30.0,2.0,,,1,True,87.153
STR,47.0,0 days 00:01:27.267000,HARD,31.0,2.0,,,1,True,87.267
STR,48.0,0 days 00:01:27.590000,HARD,32.0,2.0,,,1,True,87.59
STR,49.0,0 days 00:01:29.467000,HARD,33.0,2.0,,,1,True,89.467
STR,50.0,0 days 00:01:30.865000,HARD,34.0,2.0,,,1,True,90.865
SAR,1.0,0 days 00:01:34.407000,MEDIUM,4.0,1.0,,,1,False,94.407
SAR,2.0,0 days 00:01:28.080000,MEDIUM,5.0,1.0,,,1,True,88.08
SAR,3.0,0 days 00:01:27.647000,MEDIUM,6.0,1.0,,,1,True,87.647
SAR,4.0,0 days 00:01:27.389000,MEDIUM,7.0,1.0,,,1,True,87.389
